,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,5.5
5,Coesão Referencial,adj_stem_ovl,6.0
6,Coesão Referencial,arg_ovl,9.6
7,Coesão Referencial,stem_ovl,11.3
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,1.2
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.02857
13,Conectivos,and_ratio,0.01905
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.02857
16,Conectivos,conn_ratio,0.08571
17,Conectivos,if_ratio,0.01905
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.05714
20,Conectivos,logic_operators,0.05714
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.00952
24,Densidade de Padrões Sintáticos,mean_noun_phrase,8.0
25,Diversidade Lexical,ttr,0.50333
26,Frequência de Palavras,cw_freq,363307.02703
27,Frequência de Palavras,min_cw_freq,2042.2
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.05714
29,Informações Morfossintáticas de Palavras,adverbs,0.01905
30,Informações Morfossintáticas de Palavras,content_words,0.70476
31,Informações Morfossintáticas de Palavras,function_words,0.29524
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.04762
34,Informações Morfossintáticas de Palavras,verbs,0.1619
35,Informações Semânticas de Palavras,adjectives_ambiguity,2.5
36,Informações Semânticas de Palavras,adverbs_ambiguity,1.0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.66667
38,Informações Semânticas de Palavras,nouns_ambiguity,2.09524
39,Informações Semânticas de Palavras,verbs_ambiguity,3.91667
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,5
42,Medidas Descritivas,sentences_per_paragraph,5.0
43,Medidas Descritivas,syllables_per_content_word,2.93243
44,Medidas Descritivas,words,105
45,Medidas Descritivas,words_per_sentence,21.0
46,Índices de leiturabilidade,flesch,21.25714
