,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,0.75
5,Coesão Referencial,adj_stem_ovl,1.25
6,Coesão Referencial,arg_ovl,0.9
7,Coesão Referencial,stem_ovl,1.6
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,2.4
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.05479
13,Conectivos,and_ratio,0.0274
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.05479
16,Conectivos,conn_ratio,0.08219
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.0411
20,Conectivos,logic_operators,0.0274
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,5.76
25,Diversidade Lexical,ttr,0.63014
26,Frequência de Palavras,cw_freq,92343.34884
27,Frequência de Palavras,min_cw_freq,7238.8
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.09589
29,Informações Morfossintáticas de Palavras,adverbs,0.0
30,Informações Morfossintáticas de Palavras,content_words,0.58904
31,Informações Morfossintáticas de Palavras,function_words,0.41096
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.06849
34,Informações Morfossintáticas de Palavras,verbs,0.10959
35,Informações Semânticas de Palavras,adjectives_ambiguity,2.2
36,Informações Semânticas de Palavras,adverbs_ambiguity,0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.5
38,Informações Semânticas de Palavras,nouns_ambiguity,4.74074
39,Informações Semânticas de Palavras,verbs_ambiguity,11.5
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,5
42,Medidas Descritivas,sentences_per_paragraph,5.0
43,Medidas Descritivas,syllables_per_content_word,2.67442
44,Medidas Descritivas,words,73
45,Medidas Descritivas,words_per_sentence,14.6
46,Índices de leiturabilidade,flesch,55.54477
