,Group,Metric,Value
4,Coesão Referencial,adj_arg_ovl,2.9
5,Coesão Referencial,adj_stem_ovl,3.0
6,Coesão Referencial,arg_ovl,2.36364
7,Coesão Referencial,stem_ovl,2.70909
8,Coesão referencial,adjacent_refs,0.0
9,Coesão referencial,anaphoric_refs,0.0
10,Complexidade Sintática,words_before_main_verb,1.18182
11,Conectivos,add_neg_conn_ratio,0.0
12,Conectivos,add_pos_conn_ratio,0.02479
13,Conectivos,and_ratio,0.01653
14,Conectivos,cau_neg_conn_ratio,0.0
15,Conectivos,cau_pos_conn_ratio,0.02479
16,Conectivos,conn_ratio,0.05785
17,Conectivos,if_ratio,0.0
18,Conectivos,log_neg_conn_ratio,0.0
19,Conectivos,log_pos_conn_ratio,0.02479
20,Conectivos,logic_operators,0.04132
21,Conectivos,negation_ratio,0.0
22,Conectivos,tmp_neg_conn_ratio,0.0
23,Conectivos,tmp_pos_conn_ratio,0.0
24,Densidade de Padrões Sintáticos,mean_noun_phrase,4.07576
25,Diversidade Lexical,ttr,0.60591
26,Frequência de Palavras,cw_freq,367428.53846
27,Frequência de Palavras,min_cw_freq,183707.36364
28,Informações Morfossintáticas de Palavras,adjective_ratio,0.08264
29,Informações Morfossintáticas de Palavras,adverbs,0.00826
30,Informações Morfossintáticas de Palavras,content_words,0.64463
31,Informações Morfossintáticas de Palavras,function_words,0.35537
32,Informações Morfossintáticas de Palavras,personal_pronouns,0.0
33,Informações Morfossintáticas de Palavras,pronoun_ratio,0.04132
34,Informações Morfossintáticas de Palavras,verbs,0.12397
35,Informações Semânticas de Palavras,adjectives_ambiguity,2.6
36,Informações Semânticas de Palavras,adverbs_ambiguity,3.0
37,Informações Semânticas de Palavras,hypernyms_verbs,0.64286
38,Informações Semânticas de Palavras,nouns_ambiguity,3.74
39,Informações Semânticas de Palavras,verbs_ambiguity,8.77778
40,Medidas Descritivas,paragraphs,1
41,Medidas Descritivas,sentences,11
42,Medidas Descritivas,sentences_per_paragraph,11.0
43,Medidas Descritivas,syllables_per_content_word,2.85897
44,Medidas Descritivas,words,121
45,Medidas Descritivas,words_per_sentence,11.0
46,Índices de leiturabilidade,flesch,45.39727
